raw_feature_name,feature,feature_group,coefficient_log_scale,absolute_coefficient,approx_percent_effect
categorical_most_frequent__HouseStyle_2Story,HouseStyle_2Story,categorical_most_frequent,-0.03007485676528416,0.03007485676528416,-2.962710814612266
categorical_most_frequent__Neighborhood_IDOTRR,Neighborhood_IDOTRR,categorical_most_frequent,-0.029650672009752077,0.029650672009752077,-2.921540344496092
categorical_none__BsmtCond_Fa,BsmtCond_Fa,categorical_none,-0.029628495664002958,0.029628495664002958,-2.9193874751386804
categorical_most_frequent__CentralAir_N,CentralAir_N,categorical_most_frequent,-0.02959823020955354,0.02959823020955354,-2.916449241819129
categorical_most_frequent__CentralAir_Y,CentralAir_Y,categorical_most_frequent,0.02959823020955341,0.02959823020955341,3.0040611607660597
categorical_none__BsmtCond_TA,BsmtCond_TA,categorical_none,0.02902157181884481,0.02902157181884481,2.944680127551691
categorical_most_frequent__Neighborhood_Somerst,Neighborhood_Somerst,categorical_most_frequent,0.028847184963684727,0.028847184963684727,2.9267294937515658
categorical_none__BsmtFinType1_Unf,BsmtFinType1_Unf,categorical_none,-0.028523228904458187,0.028523228904458187,-2.812028181718839
categorical_most_frequent__Neighborhood_NWAmes,Neighborhood_NWAmes,categorical_most_frequent,-0.028333342027316157,0.028333342027316157,-2.7935717089889702
categorical_none__PoolQC_None,PoolQC_None,categorical_none,0.027160574149166675,0.027160574149166675,2.7532784719863526
categorical_most_frequent__RoofStyle_Gable,RoofStyle_Gable,categorical_most_frequent,-0.027069274297447363,0.027069274297447363,-2.670618505634083
categorical_none__GarageQual_Ex,GarageQual_Ex,categorical_none,0.026845320255728913,0.026845320255728913,2.7208902064162177
categorical_none__Fence_GdWo,Fence_GdWo,categorical_none,-0.026741849629019064,0.026741849629019064,-2.638745247409209
categorical_most_frequent__MSZoning_RM,MSZoning_RM,categorical_most_frequent,-0.026531619978523307,0.026531619978523307,-2.6182748731863272
categorical_most_frequent__Exterior2nd_Brk Cmn,Exterior2nd_Brk Cmn,categorical_most_frequent,-0.0265051160548703,0.0265051160548703,-2.6156938411747817
numeric_zero__BsmtFullBath,BsmtFullBath,numeric_zero,0.026486888530042003,0.026486888530042003,2.6840783781331163
categorical_most_frequent__LotConfig_FR2,LotConfig_FR2,categorical_most_frequent,-0.026402104665646645,0.026402104665646645,-2.605661631801739
categorical_most_frequent__Exterior2nd_Wd Sdng,Exterior2nd_Wd Sdng,categorical_most_frequent,0.026159214175873555,0.026159214175873555,2.650436951084628
categorical_most_frequent__Neighborhood_ClearCr,Neighborhood_ClearCr,categorical_most_frequent,0.026083224190636033,0.026083224190636033,2.6426368422649205
categorical_most_frequent__MSZoning_RH,MSZoning_RH,categorical_most_frequent,0.02587273939185523,0.02587273939185523,2.6210344010753452
categorical_none__GarageQual_Gd,GarageQual_Gd,categorical_none,0.025853152741686997,0.025853152741686997,2.619024418459106
categorical_most_frequent__MSZoning_RL,MSZoning_RL,categorical_most_frequent,0.02557935610643647,0.02557935610643647,2.5909315209065498
categorical_none__BsmtFinType1_GLQ,BsmtFinType1_GLQ,categorical_none,0.025207101240689915,0.025207101240689915,2.5527486547861997
categorical_none__BsmtQual_TA,BsmtQual_TA,categorical_none,-0.02463432990598332,0.02463432990598332,-2.433338108989578
categorical_none__BsmtFinType2_BLQ,BsmtFinType2_BLQ,categorical_none,-0.0246099330958381,0.0246099330958381,-2.430957764626633
categorical_most_frequent__RoofStyle_Flat,RoofStyle_Flat,categorical_most_frequent,0.024577439683923678,0.024577439683923678,2.4881954568839166
categorical_most_frequent__Condition2_Feedr,Condition2_Feedr,categorical_most_frequent,0.02424987661611769,0.02424987661611769,2.4546296069326803
categorical_none__GarageType_Attchd,GarageType_Attchd,categorical_none,0.02418294288320666,0.02418294288320666,2.4477721656187037
categorical_most_frequent__Neighborhood_Veenker,Neighborhood_Veenker,categorical_most_frequent,0.023926764505306383,0.023926764505306383,2.421530622927252
categorical_none__BsmtFinType2_Unf,BsmtFinType2_Unf,categorical_none,0.023731120244454996,0.023731120244454996,2.401494398323348
categorical_most_frequent__Exterior2nd_ImStucc,Exterior2nd_ImStucc,categorical_most_frequent,0.02353732911971988,0.02353732911971988,2.381651820269199
categorical_none__FireplaceQu_Ex,FireplaceQu_Ex,categorical_none,0.023489280376380338,0.023489280376380338,2.3767326287396404
categorical_most_frequent__Exterior1st_WdShing,Exterior1st_WdShing,categorical_most_frequent,-0.02326780235016083,0.02326780235016083,-2.2999194376025813
categorical_most_frequent__Exterior1st_Wd Sdng,Exterior1st_Wd Sdng,categorical_most_frequent,-0.022920773990135906,0.022920773990135906,-2.2660088552441353
categorical_most_frequent__SaleType_Oth,SaleType_Oth,categorical_most_frequent,0.02287866780935716,0.02287866780935716,2.314239190806751
categorical_most_frequent__Neighborhood_OldTown,Neighborhood_OldTown,categorical_most_frequent,-0.022517292146865795,0.022517292146865795,-2.226567007847346
categorical_most_frequent__KitchenQual_TA,KitchenQual_TA,categorical_most_frequent,-0.02246978382611646,0.02246978382611646,-2.221921845890943
categorical_most_frequent__Exterior1st_BrkComm,Exterior1st_BrkComm,categorical_most_frequent,-0.02209291841848738,0.02209291841848738,-2.1850657261481268
categorical_most_frequent__Condition2_PosA,Condition2_PosA,categorical_most_frequent,0.021983160733454556,0.021983160733454556,2.2226570779810486
categorical_most_frequent__Condition1_Artery,Condition1_Artery,categorical_most_frequent,-0.0216706904523,0.0216706904523,-2.1437568051097684
categorical_most_frequent__ExterCond_Ex,ExterCond_Ex,categorical_most_frequent,0.021661533658847203,0.021661533658847203,2.1897847904186785
categorical_most_frequent__RoofStyle_Hip,RoofStyle_Hip,categorical_most_frequent,-0.021443701809375628,0.021443701809375628,-2.121542028109624
categorical_none__GarageCond_Fa,GarageCond_Fa,categorical_none,-0.021129456675407537,0.021129456675407537,-2.0907793657163256
numeric_median__YearRemodAdd,YearRemodAdd,numeric_median,0.021119020127271175,0.021119020127271175,2.1343604849582576
categorical_none__GarageType_2Types,GarageType_2Types,categorical_none,-0.020742397282418248,0.020742397282418248,-2.052875347129568
numeric_median__MSSubClass,MSSubClass,numeric_median,-0.02039795821884928,0.02039795821884928,-2.019132720429086
categorical_most_frequent__Neighborhood_BrDale,Neighborhood_BrDale,categorical_most_frequent,-0.02013205389926456,0.02013205389926456,-1.9930757204018898
categorical_most_frequent__Functional_Sev,Functional_Sev,categorical_most_frequent,-0.01999656870239604,0.01999656870239604,-1.9797963334115234
categorical_most_frequent__Neighborhood_Blmngtn,Neighborhood_Blmngtn,categorical_most_frequent,-0.019317842601840406,0.019317842601840406,-1.913244880251936
categorical_most_frequent__BldgType_1Fam,BldgType_1Fam,categorical_most_frequent,0.01917454383934049,0.01917454383934049,1.935955602121205
categorical_most_frequent__Condition1_PosN,Condition1_PosN,categorical_most_frequent,-0.019004873949897246,0.019004873949897246,-1.8825419964591645
categorical_most_frequent__HeatingQC_Ex,HeatingQC_Ex,categorical_most_frequent,0.018776079830366024,0.018776079830366024,1.8953458838862185
categorical_most_frequent__HouseStyle_2.5Unf,HouseStyle_2.5Unf,categorical_most_frequent,0.018721588334455468,0.018721588334455468,1.8897936053400375
categorical_most_frequent__Condition1_RRAn,Condition1_RRAn,categorical_most_frequent,0.018714597014130915,0.018714597014130915,1.8890812636452476
categorical_most_frequent__RoofStyle_Mansard,RoofStyle_Mansard,categorical_most_frequent,0.018628547597337824,0.018628547597337824,1.880314144833067
numeric_median__FullBath,FullBath,numeric_median,0.018382883445857784,0.018382883445857784,1.8552888779374936
categorical_none__BsmtExposure_No,BsmtExposure_No,categorical_none,-0.018348408964720963,0.018348408964720963,-1.8181101745417136
numeric_median__TotRmsAbvGrd,TotRmsAbvGrd,numeric_median,0.018265325310168657,0.018265325310168657,1.8433156638550778
categorical_most_frequent__SaleCondition_Family,SaleCondition_Family,categorical_most_frequent,-0.018122777004327753,0.018122777004327753,-1.7959547028680258
categorical_none__FireplaceQu_Po,FireplaceQu_Po,categorical_none,-0.01783899933034542,0.01783899933034542,-1.7680826327693835
categorical_none__FireplaceQu_None,FireplaceQu_None,categorical_none,-0.017812133943452324,0.017812133943452324,-1.7654435588543502
categorical_most_frequent__Neighborhood_BrkSide,Neighborhood_BrkSide,categorical_most_frequent,0.017811947132040384,0.017811947132040384,1.7971525924002145
categorical_most_frequent__Functional_Min1,Functional_Min1,categorical_most_frequent,0.01757015532472823,0.01757015532472823,1.7725418503534687
categorical_most_frequent__Heating_Wall,Heating_Wall,categorical_most_frequent,0.017337290129960995,0.017337290129960995,1.748845326728405
categorical_most_frequent__Foundation_BrkTil,Foundation_BrkTil,categorical_most_frequent,-0.017295745710292416,0.017295745710292416,-1.7147032901071155
categorical_none__MasVnrType_BrkCmn,MasVnrType_BrkCmn,categorical_none,-0.01723813758920922,0.01723813758920922,-1.7090410957409305
categorical_most_frequent__Neighborhood_SawyerW,Neighborhood_SawyerW,categorical_most_frequent,-0.017222605918810214,0.017222605918810214,-1.707514461108465
categorical_none__BsmtCond_None,BsmtCond_None,categorical_none,-0.01718977090401529,0.01718977090401529,-1.7042869729045445
categorical_none__BsmtQual_None,BsmtQual_None,categorical_none,-0.017189770904015286,0.017189770904015286,-1.704286972904544
categorical_none__BsmtFinType1_None,BsmtFinType1_None,categorical_none,-0.017189770904015012,0.017189770904015012,-1.704286972904517
categorical_none__BsmtExposure_None,BsmtExposure_None,categorical_none,-0.017189770904015012,0.017189770904015012,-1.704286972904517
categorical_none__BsmtFinType2_None,BsmtFinType2_None,categorical_none,-0.017189770904015002,0.017189770904015002,-1.704286972904516
categorical_most_frequent__KitchenQual_Gd,KitchenQual_Gd,categorical_most_frequent,-0.017095725364041726,0.017095725364041726,-1.695042264790855
numeric_median__HalfBath,HalfBath,numeric_median,0.016857156496529156,0.016857156496529156,1.7000040100418854
categorical_most_frequent__Neighborhood_CollgCr,Neighborhood_CollgCr,categorical_most_frequent,-0.016601449770666594,0.016601449770666594,-1.6464405131342323
categorical_most_frequent__Exterior2nd_Wd Shng,Exterior2nd_Wd Shng,categorical_most_frequent,-0.016463026148238403,0.016463026148238403,-1.6328251148267172
categorical_most_frequent__Exterior1st_HdBoard,Exterior1st_HdBoard,categorical_most_frequent,-0.01639376727697231,0.01639376727697231,-1.626012079395687
categorical_most_frequent__HouseStyle_2.5Fin,HouseStyle_2.5Fin,categorical_most_frequent,-0.016275947570605003,0.016275947570605003,-1.6144210022094534
categorical_most_frequent__Exterior1st_Stucco,Exterior1st_Stucco,categorical_most_frequent,-0.016215063056603134,0.016215063056603134,-1.6084306616897452
categorical_none__MiscFeature_None,MiscFeature_None,categorical_none,0.01600845283965896,0.01600845283965896,1.6137274615246981
categorical_most_frequent__Neighborhood_NAmes,Neighborhood_NAmes,categorical_most_frequent,-0.01597523337413312,0.01597523337413312,-1.5848306129746366
categorical_none__BsmtFinType1_ALQ,BsmtFinType1_ALQ,categorical_none,0.015828490600022595,0.015828490600022595,1.5954424729060237
