model,mae,rmse,r2
linear_regression,15074.867177176024,22906.508679512248,0.9315924609056501
ridge_regression,16434.82197758384,25110.059709767927,0.9177981377066707
lasso_regression,16328.301959881986,25122.649872612852,0.9177156851516293
random_forest,17349.96501953723,29673.736856704323,0.8852029711310229
baseline_median,59568.25000000003,88667.16750592618,-0.024971608920278943
